2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
TC 1051-6024           ;Car  ;10 51 06.0 -60 24 48 ;Op   ;OC?  ;    1.30;      ;       ;GSC 8957-2995 Grp                                      ;
TC 1052-6139           ;Car  ;10 52 02.0 -61 39 35 ;Op   ;OC?  ;    1.30;      ;       ;                                                       ;
TC 1056-6044           ;Car  ;10 56 33.0 -60 44 35 ;Op   ;OC?  ;    2.20;      ;       ;GSC 8958-3390 Grp                                      ;
TC 1059-6131           ;Car  ;10 59 43.0 -61 31 00 ;Op   ;OC?  ;    2.30;      ;       ;                                                       ;
TC 1100-6113           ;Car  ;11 00 22.0 -61 13 52 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
TC 1109-6018           ;Car  ;11 09 16.0 -60 18 36 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
TC 1121-5854           ;Cen  ;11 21 50.0 -58 54 36 ;Op   ;OC?  ;    2.10;      ;       ;GSC 8629-276 Grp                                       ;
TC 1124-5656           ;Cen  ;11 24 19.0 -56 56 47 ;Op   ;OC?  ;    1.30;      ;       ;GSC 8625-1367 Grp                                      ;
TC 1125-6014           ;Cen  ;11 25 07.0 -60 14 06 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
TC 1131-6043           ;Cen  ;11 31 46.0 -60 43 52 ;Op   ;OC?  ;    2.50;      ;       ;HD 306620 Grp                                          ;
TC 1146-6152           ;Cen  ;11 46 03.5 -61 52 15 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
TC 1238-6050           ;Cru  ;12 38 46.4 -60 50 10 ;Op   ;OC   ;    2.60;  3370;       ;                                                       ;
TC 1323-6402           ;Cen  ;13 23 38.0 -64 02 12 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
TC 1329-6315           ;Cen  ;13 29 00.0 -63 15 52 ;Op   ;OC?  ;    1.30;      ;       ;                                                       ;
TC 1411-6211           ;Cen  ;14 11 07.0 -62 11 06 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
TC 1446-6043           ;Cir  ;14 46 20.0 -60 43 52 ;Op   ;OC?  ;    3.00;  2560;       ;                                                       ;Dubious
TC 1615-5433           ;Nor  ;16 15 40.0 -54 33 20 ;Op   ;OC?  ;   14.00;      ;       ;                                                       ;
TC 1640-4701           ;Ara  ;16 40 15.0 -47 01 24 ;Op   ;OC?  ;    3.80;  2600;       ;                                                       ;Somewhat dubious
TC 1645-4423           ;Sco  ;16 45 52.0 -44 23 12 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
TC 1700-4449           ;Sco  ;17 00 06.0 -44 49 24 ;Op   ;OC?  ;    3.10;      ;       ;HD 329206 Grp                                          ;
TC 1754-3101           ;Sco  ;17 54 56.0 -31 01 42 ;Op   ;OC?  ;   12.50;      ;       ;GSC 7378-1461 Grp                                      ;
TC 1811-1851           ;Sgr  ;18 11 48.0 -18 51 06 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;
TC 1814-2814           ;Sgr  ;18 14 41.0 -28 14 24 ;Op   ;OC?  ;    1.50;      ;       ;                                                       ;
TC 1819-1831           ;Sgr  ;18 19 52.0 -18 31 03 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
TC 1825-1704           ;Sgr  ;18 25 52.6 -17 04 45 ;Op   ;OC?  ;    7.00;      ;       ;Dolidze 52 B                                           ;
TC 1919+1448           ;Aql  ;19 19 34.0 +14 48 35 ;Op   ;OC   ;    2.00;  3740;       ;GSC 1054-1071 Grp                                      ;
TC 1929+1903           ;Sge  ;19 29 06.0 +19 03 30 ;Op   ;OC?  ;    2.50;  6700;       ;                                                       ;Somewhat uncertain
TC 1949+1853           ;Sge  ;19 49 39.4 +18 53 30 ;Op   ;OC   ;    1.30;  3180;       ;                                                       ;
TC 1955+3255           ;Cyg  ;19 55 53.0 +32 55 30 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
TC 1955+3528           ;Cyg  ;19 55 06.0 +35 28 48 ;Op   ;OC?  ;    2.80;      ;       ;                                                       ;
TC 2003+3114           ;Cyg  ;20 03 40.0 +31 14 30 ;Op   ;OC?  ;    1.30;      ;       ;                                                       ;
TC 2003+3308           ;Cyg  ;20 03 33.0 +33 08 48 ;Op   ;OC?  ;    1.50;      ;       ;                                                       ;
TC 2006+3415           ;Cyg  ;20 06 31.0 +34 15 00 ;Op   ;OC?  ;    4.50;      ;       ;                                                       ;
TC 2011+3945           ;Cyg  ;20 11 58.0 +39 45 24 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;
TC 2012+3434           ;Cyg  ;20 12 21.0 +34 34 24 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
TC 2016+3715           ;Cyg  ;20 16 23.0 +37 15 48 ;Op   ;OC?  ;    1.40;      ;       ;                                                       ;
TC 2017+3935           ;Cyg  ;20 17 16.0 +39 35 30 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
TC 2046+3851           ;Cyg  ;20 46 36.0 +38 51 48 ;Op   ;OC?  ;    1.60;      ;       ;                                                       ;
TC 2101+2938           ;Cyg  ;21 01 44.0 +29 38 48 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Same as UPK 109 ?
TC 2116+4407           ;Cyg  ;21 16 11.0 +44 07 34 ;Op   ;OC?  ;    1.00;      ;       ;                                                       ;
TC 2133+5721           ;Cep  ;21 33 07.0 +57 21 24 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
TC 2223+5636           ;Cep  ;22 23 24.0 +56 36 27 ;Op   ;OC   ;    1.50;  2270;   6.70;SBB 4                                                  ;
TC 2342+6754           ;Cep  ;23 42 54.0 +67 54 42 ;Op   ;OC?  ;    2.00;      ;       ;GSC 4479-596 Grp                                       ;
TC 2348+6215           ;Cas  ;23 48 42.0 +62 15 24 ;Op   ;OC?  ;    5.50;      ;       ;                                                       ;
TEB 1                  ;Sgr  ;18 08 38.0 -19 52 09 ;IR   ;OC   ;    1.70;      ;       ;Majaess 191                                            ;In RM 3 complex
TPB 1                  ;Cep  ;22 06 50.4 +59 02 46 ;IR   ;OC   ;    6.00;   750;       ;Gy 2-21 Cl                                             ;
TPK 1                  ;And  ;23 39 18.0 +47 30 36 ;Op   ;OCR? ;   23.00;   474;   9.40;TC 2339+4730, Patchick 41, Kronberger 16               ;Very poor: only 10* to G=16
TPN 31                 ;Ori  ;05 35 10.0 +10 01 52 ;Op   ;OC   ;    6.00;      ;       ;                                                       ;Includes HD 245185
TW Hya Assoc           ;Hya  ;11 01 51.9 -34 42 17 ;Op   ;YAs  ; 2500.00;    65;   7.00;                                                       ;Fixed center on TW Hya, unbound: significant spread in parallax and motions, diam from P100% members in Simbad (confirmed by GDR2)
TWMM 1                 ;Sgr  ;18 04 30.0 -24 28 47 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;Incl M8 SE3, IRAS 18014-2428
TYC 1325-1009 Grp      ;Ori  ;06 06 45.0 +21 12 42 ;Op   ;OC?  ;   10.00;      ;       ;Saloranta J0606+2112                                   ;
TYC 2933-2042 Grp      ;Aur  ;06 00 35.0 +42 15 12 ;Op   ;OC?  ;    6.00;      ;       ;Kronberger J0600+4215, Saloranta J0600+4215            ;
TYC 3578-1022 Grp      ;Cyg  ;20 46 43.0 +48 02 00 ;Op   ;OC?  ;    6.50;      ;       ;Pothier 18, Saloranta J2046+4802                       ;
Tau-Aur T Assoc        ;Tau  ;04 32 33.0 +26 04 37 ;IR   ;YAs  ; 1560.00;   135;       ;BDB 151, Tau R2                                        ;
Tau-Ori R1             ;Ori  ;05 29 19.0 +02 26 39 ;Op   ;YAs? ; 1140.00;   360;       ;                                                       ;
Taurus VI B            ;Tau  ;04 32 31.8 +17 31 10 ;IR   ;YAs  ;  340.00;   167;       ;                                                       ;
Taurus VIII A          ;Tau  ;04 29 40.7 +26 18 07 ;IR   ;YAs  ;  120.00;   131;       ;BDB 149, DF Tau                                        ;7.1..8.3  5..9    -23..-19  <16, A rather messy region (Luhman+ 2009 Fig 14) containing young stars mainly assoc w B216 region (most massive memb is prob DF Tau)
Taurus XI A            ;Tau  ;05 06 00.0 +24 58 10 ;IR   ;YAs  ;  105.00;   171;   6.18;HMAC 4, L1544                                          ;
Taurus XI B            ;Tau  ;05 06 32.8 +24 45 55 ;IR   ;YAs  ;   96.00;   240;       ;                                                       ;
Terzan-Ju 20           ;Oph  ;17 33 30.9 -29 19 34 ;Op   ;OC?  ;    7.00;  2160;   8.80;C1730-293, IRAS 17301-2917                             ;Dubious, stellar core?
Teutsch 104            ;Vel  ;09 59 54.0 -52 52 24 ;Op   ;OC?  ;    0.70;      ;       ;                                                       ;
Teutsch 131            ;Per  ;04 45 22.0 +41 59 15 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
Teutsch 14 B           ;Sgr  ;18 03 32.1 -22 08 17 ;Op   ;OC?  ;    0.50;  1720;       ;Teutsch J1803-2207 B                                   ;
Teutsch 143 AB         ;Car  ;11 08 33.8 -60 44 28 ;Op   ;OCR? ;    4.00;  4035;       ;Wray 15-751 Cl                                         ;Sparse, poor RDP
Teutsch 149            ;Aql  ;19 12 52.0 +15 00 49 ;Op   ;OC   ;    1.60;  8300;       ;                                                       ;
Teutsch 154            ;Cyg  ;20 14 27.6 +33 05 58 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
Teutsch 163            ;Per  ;04 16 49.7 +41 04 30 ;Op   ;OCR? ;    8.40;  3918;   9.15;Teutsch J0416+4103, SAI 36                             ;
Teutsch 170            ;Gem  ;06 15 21.0 +22 53 29 ;IR   ;OC   ;    3.60;  2130;       ;Camargo 933                                            ;
Teutsch 188            ;CMi  ;07 20 54.5 +03 38 09 ;Op   ;OC   ;  178.00;   479;   7.85;Teutsch 178, HD 57291 Grp, Theia 172                   ;
Teutsch 237            ;Mus  ;13 05 08.4 -65 39 49 ;Op   ;OC?  ;    0.90;  4000;       ;TC 1305-6539                                           ;Dubious
Teutsch 238            ;Mus  ;13 34 57.2 -65 09 26 ;Op   ;OC?  ;    0.80;  5500;       ;TC 1334-6509                                           ;Dubious
Teutsch 269            ;Sct  ;18 28 02.0 -14 43 30 ;Op   ;OC   ;    1.20;  2750;       ;TC 1828-1443, Iss 693                                  ;
Teutsch 277            ;Aql  ;19 10 24.0 +10 32 56 ;Op   ;OC   ;    2.00;  7500;       ;TC 1910+1032                                           ;
Teutsch 29             ;Aur  ;05 24 13.2 +33 28 37 ;Op   ;OC   ;   15.00;  4001;   8.95;Teutsch J0524+3329, SAI 48                             ;
Teutsch 59 A           ;Mon  ;06 43 54.2 -00 54 05 ;Op   ;OC   ;    3.20;  2940;       ;                                                       ;
Teutsch 59 B           ;Mon  ;06 43 43.5 -00 51 25 ;Op   ;OC   ;    6.50;  3210;       ;SAI 67                                                 ;
Teutsch 70             ;Car  ;11 16 20.0 -58 33 50 ;Op   ;OC?  ;    1.90;      ;       ;                                                       ;
Teutsch 81             ;Nor  ;15 52 28.0 -55 36 58 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
Teutsch 91             ;Aur  ;05 33 14.7 +34 49 18 ;Op   ;OC?  ;    2.70;      ;       ;                                                       ;
Teutsch J0132+5919     ;Cas  ;01 32 43.0 +59 19 36 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Teutsch J0135+6041     ;Cas  ;01 35 16.0 +60 41 06 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Teutsch J0408+5308     ;Cam  ;04 08 07.0 +53 08 36 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Teutsch J0628+0708     ;Mon  ;06 28 51.0 +07 08 42 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Teutsch J0706-0907     ;Mon  ;07 06 03.2 -09 07 16 ;Op   ;OC   ;   20.28;  3205;   6.90;                                                       ;
Teutsch J0819-4510     ;Vel  ;08 19 46.0 -45 10 24 ;Op   ;OC?  ;    1.50;      ;       ;                                                       ;
Teutsch J0822-3136     ;Pup  ;08 22 46.0 -31 36 18 ;Op   ;OC   ;   82.00;  1424;       ;Teutsch 190                                            ;
Teutsch J0843-4511     ;Vel  ;08 43 36.0 -45 11 48 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Teutsch J1021-5802     ;Car  ;10 21 36.1 -58 02 28 ;Op   ;OC   ;   16.32;  3663;   8.83;                                                       ;
Teutsch J1038-6018     ;Car  ;10 38 43.0 -60 18 06 ;Op   ;OC?  ;    1.50;      ;       ;                                                       ;
Teutsch J1056-6148     ;Car  ;10 56 54.0 -61 48 48 ;Op   ;OCR  ;    2.50;      ;       ;                                                       ;
Teutsch J1110-5852     ;Car  ;11 10 18.0 -58 52 30 ;Op   ;OC?  ;    0.80;      ;       ;                                                       ;Faint
Teutsch J1209-6120     ;Cru  ;12 09 15.5 -61 20 12 ;Op   ;OC   ;   16.92;  3676;   9.16;                                                       ;
Teutsch J1341-6152     ;Cen  ;13 41 39.2 -61 55 37 ;Op   ;OC   ;   16.20;  3390;   6.60;                                                       ;
Teutsch J1644-4423     ;Sco  ;16 44 57.0 -44 23 24 ;Op   ;OCR  ;    1.40;      ;       ;                                                       ;
Teutsch J1836-0642     ;Sct  ;18 36 54.1 -06 42 49 ;Op   ;EC   ;    6.00;  5600;       ;                                                       ;In Sh2-52
